Stock1,Stock2,P-Value,Cluster,Sector,Hedge_Ratio,Half_Life,Hurst_Exponent,Zero_Crossings
FE,NI,0.02666,utilities_0,utilities,0.5787165972344653,32.53,0.4266,67
EXC,NI,0.02882,utilities_0,utilities,0.6262432188341824,80.36,0.4373,38
NSC,MMM,0.02928,industrials_1,industrials,0.6961765050538856,33.56,0.4481,45
CMS,DUK,0.03037,utilities_0,utilities,0.5065228241462377,19.04,0.2871,83
INTU,WDAY,0.03204,information_technology_1,information_technology,1.9383200980099309,75.95,0.4302,39
TXN,TEL,0.03356,information_technology_2,information_technology,0.2968753345071812,35.31,0.3521,83
CNP,ED,0.03514,utilities_0,utilities,0.3520171828814845,131.43,0.4899,65
COF,IVZ,0.03594,financials_2,financials,7.381233603075027,165.96,0.4027,1
IVZ,C,0.03895,financials_2,financials,0.1283915911575283,71.29,0.4169,46
BALL,IFF,0.04015,materials_0,materials,0.5507318292952115,32.9,0.3927,60
MS,TFC,0.0411,financials_2,financials,1.3454807585082584,inf,0.4459,29
SCHW,RF,0.04147,financials_2,financials,3.2793785823574364,44.68,0.4491,55
COF,C,0.04156,financials_2,financials,2.1847453463174635,32.67,0.3848,52
FTV,PNR,0.04256,industrials_1,industrials,0.1169022062337142,50.01,0.4312,75
TXN,QCOM,0.04296,information_technology_2,information_technology,0.4415230598907416,35.39,0.3938,63
FITB,PNC,0.04318,financials_2,financials,0.2358656317674438,27.6,0.3182,70
MS,PNC,0.04318,financials_2,financials,0.7619542914676578,349.07,0.4495,37
MS,C,0.04415,financials_2,financials,1.4153395326625609,58.96,0.4385,32
HUM,MCK,0.04509,health_care_4,health_care,-0.329502216104905,70.77,0.3886,45
PEG,SO,0.04516,utilities_0,utilities,0.8678659308362842,35.85,0.3837,52
CMS,ETR,0.04542,utilities_0,utilities,0.4065328601955671,30.13,0.3846,92
JNJ,ABBV,0.0469,health_care_1,health_care,0.2227941722489702,112.04,0.431,45
ETR,XEL,0.04767,utilities_0,utilities,1.9219869492572936,96.09,0.3606,35
MS,BAC,0.04811,financials_2,financials,3.20226645039404,156.99,0.4419,25
FE,XEL,0.05047,utilities_0,utilities,0.4637188136851807,69.45,0.4357,37
FISV,MA,0.05335,financials_3,financials,0.2787620730739701,inf,0.5367,47
CVS,CNC,0.05342,health_care_4,health_care,0.3162699632002245,151.56,0.4585,19
ADI,MCHP,0.05835,information_technology_2,information_technology,0.3132935592451723,300.24,0.3031,35
GOOG,META,0.05947,communication_services_0,communication_services,0.20439628331933,inf,0.5558,53
ETN,IR,0.06017,industrials_1,industrials,4.496129383812735,66.34,0.3671,61
JNJ,VRTX,0.06061,health_care_1,health_care,0.0354145277727403,359.66,0.4742,45
JNJ,GILD,0.06242,health_care_1,health_care,0.4104360662179179,99.65,0.4742,55
BEN,SYF,0.06324,financials_2,financials,-0.0143360255497335,45.52,0.416,52
JNJ,MRK,0.06381,health_care_1,health_care,0.0325477014326113,497.68,0.4628,53
MS,USB,0.06476,financials_2,financials,2.091790875513792,2170.92,0.4337,17
AIG,CB,0.06507,financials_0,financials,0.2690310085251405,24.36,0.3454,66
CB,HIG,0.06514,financials_0,financials,1.7107532122379685,45.78,0.3972,52
FTNT,ADSK,0.0664,information_technology_1,information_technology,0.2038450744972567,68.39,0.4537,31
EMR,PCAR,0.06706,industrials_3,industrials,0.664537895539091,91.16,0.4376,33
MAS,PNR,0.06834,industrials_1,industrials,0.4212383924583648,74.33,0.4548,60
CI,HUM,0.06845,health_care_4,health_care,-0.1959794736542641,65.77,0.3909,46
ITW,TT,0.06862,industrials_1,industrials,0.2096037883616825,36.64,0.3888,54
NSC,SWK,0.06862,industrials_1,industrials,0.1410783451396149,83.05,0.4361,77
FTNT,ADBE,0.0689,information_technology_1,information_technology,-0.0330533798361589,79.7,0.425,37
MS,SCHW,0.06923,financials_2,financials,1.6661648433766152,148.24,0.5023,29
PPL,SO,0.07156,utilities_0,utilities,0.2980658005539623,76.54,0.4256,16
CNP,SO,0.07253,utilities_0,utilities,0.3409650032060164,108.53,0.4916,49
FTNT,WDAY,0.07287,information_technology_1,information_technology,0.1726822485553955,88.81,0.4178,23
AKAM,NTAP,0.07366,information_technology_0,information_technology,-0.0939188623274168,77.85,0.4129,23
INTC,MU,0.07414,information_technology_2,information_technology,-0.0122081137299323,105.44,0.485,26
V,MA,0.07494,financials_3,financials,0.5987234587984359,31.78,0.4172,57
IQV,ZTS,0.07578,health_care_0,health_care,0.8391200559415413,64.4,0.4619,57
EMR,CAT,0.07583,industrials_3,industrials,0.169921840132527,50.71,0.4731,34
GPN,V,0.07609,financials_3,financials,-0.2670937432788698,49.04,0.4199,33
KMB,PEP,0.07643,consumer_staples_2,consumer_staples,0.1601080112619774,65.03,0.4015,60
GOOGL,META,0.07647,communication_services_0,communication_services,0.2031166971708077,inf,0.5567,57
WFC,PNC,0.07723,financials_2,financials,0.4493119134472498,268.05,0.474,15
HBAN,PNC,0.07732,financials_2,financials,0.0769506034608335,51.6,0.329,50
MU,NXPI,0.07744,information_technology_2,information_technology,0.7583643973439397,inf,0.4838,76
CSX,PNR,0.07762,industrials_1,industrials,0.0715642747843341,31.54,0.3771,85
UAL,LUV,0.07819,industrials_5,industrials,-0.1785791017794121,536.22,0.5306,21
GS,BEN,0.07851,financials_2,financials,-10.90552814992154,inf,0.4374,31
KMB,MDLZ,0.08064,consumer_staples_2,consumer_staples,0.9074249001394988,49.1,0.3694,69
MU,TEL,0.08196,information_technology_2,information_technology,1.2332234804313398,153.7,0.4343,64
GEN,WDC,0.08427,information_technology_0,information_technology,0.0708195475308728,76.29,0.4458,46
AOS,MAS,0.08448,industrials_1,industrials,0.6770373416582695,57.76,0.4347,24
HBAN,KEY,0.08814,financials_2,financials,0.5118541938778141,217.83,0.3858,33
CSX,CARR,0.08905,industrials_1,industrials,0.1028779277638778,39.01,0.4175,77
NCLH,CCL,0.08936,consumer_discretionary_2,consumer_discretionary,0.6719774427717995,60.85,0.3715,41
MGM,WYNN,0.08961,consumer_discretionary_7,consumer_discretionary,0.0718342556810679,39.66,0.3541,50
HPE,IBM,0.08969,information_technology_0,information_technology,0.0467908402519989,34.73,0.453,74
FTV,AOS,0.08982,industrials_1,industrials,0.3655775124380592,40.3,0.4698,64
CRM,INTU,0.0901,information_technology_1,information_technology,0.3622445239121279,61.7,0.5196,41
KMB,KO,0.09025,consumer_staples_2,consumer_staples,0.7243917024921944,64.01,0.3791,75
TFC,PNC,0.09234,financials_2,financials,0.2258152315518953,104.31,0.3317,5
ELV,UNH,0.09293,health_care_4,health_care,0.6629276241014668,59.88,0.5212,43
CSX,SWK,0.09315,industrials_1,industrials,-0.002242881812019,42.07,0.3966,41
NOW,ADBE,0.09364,information_technology_1,information_technology,0.0391989680180267,228.71,0.4481,9
BK,BEN,0.09389,financials_2,financials,-1.4591029163640807,inf,0.4856,27
MS,PFG,0.09604,financials_2,financials,1.87005840194387,638.75,0.5099,16
TXN,NXPI,0.09638,information_technology_2,information_technology,0.3978353846609263,42.47,0.3806,99
CSX,AME,0.09647,industrials_1,industrials,0.0629019399615301,31.8,0.3741,77
HBAN,BAC,0.09666,financials_2,financials,0.2801302902018112,37.85,0.3813,41
NOW,WDAY,0.09715,information_technology_1,information_technology,0.6604317431524391,136.27,0.4262,9
TER,TEL,0.09735,information_technology_2,information_technology,0.4984363999081715,70.75,0.4756,48
AEP,XEL,0.09743,utilities_0,utilities,1.6372752048795258,95.5,0.4374,23
HUM,CAH,0.09763,health_care_4,health_care,-1.5874199324210363,70.15,0.3881,35
ETR,NI,0.09772,utilities_0,utilities,2.326674453380137,35.76,0.4272,56
HBAN,RF,0.09937,financials_2,financials,0.6712825072641977,34.08,0.3948,43
ETR,EXC,0.09979,utilities_0,utilities,2.299775019798616,255.33,0.5082,12
